item_id,destination,accommodation_type,price
"Sydney, Aus_Hotel","Sydney, Aus",Hotel,900 USD
"Bangkok, Thai_Hotel","Bangkok, Thai",Hotel,400 USD
"New York, USA_Hotel","New York, USA",Hotel,1500 USD
"Phuket, Thai_Resort","Phuket, Thai",Resort,700 USD
"Rome, Italy_Hotel","Rome, Italy",Hotel,100
Paris_Hotel,Paris,Hotel,800 USD
Tokyo_Airbnb,Tokyo,Airbnb,500 USD
Bali_Resort,Bali,Resort,1200 USD
Sydney_Hotel,Sydney,Hotel,900 USD
New York_Airbnb,New York,Airbnb,700 USD
London_Hostel,London,Hostel,300 USD
Dubai_Hotel,Dubai,Hotel,1000 USD
Bangkok_Airbnb,Bangkok,Airbnb,400 USD
Rome_Hostel,Rome,Hostel,200 USD
Bali_Villa,Bali,Villa,1500 USD
Seoul_Hotel,Seoul,Hotel,800 USD
Paris_Hotel,Paris,Hotel,$500 
Tokyo_Airbnb,Tokyo,Airbnb,$400 
Sydney_Hostel,Sydney,Hostel,$200 
London_Hotel,London,Hotel,$600 
New York_Airbnb,New York,Airbnb,$800 
Rome_Hotel,Rome,Hotel,$700 
Bangkok_Hostel,Bangkok,Hostel,$300 
Cape Town_Airbnb,Cape Town,Airbnb,$500 
Rio de Janeiro_Hotel,Rio de Janeiro,Hotel,$900 
Bali_Villa,Bali,Villa,"$1,200 "
Amsterdam_Hotel,Amsterdam,Hotel,$600 
Paris_Hotel,Paris,Hotel,1000
Tokyo_Airbnb,Tokyo,Airbnb,800
New York_Hotel,New York,Hotel,1200
Bali_Resort,Bali,Resort,1500
Sydney_Hostel,Sydney,Hostel,300
London_Hotel,London,Hotel,900
Phuket_Villa,Phuket,Villa,2000
Rome_Hotel,Rome,Hotel,1100
Santorini_Airbnb,Santorini,Airbnb,1000
Dubai_Hotel,Dubai,Hotel,1500
Phnom Penh_Hostel,Phnom Penh,Hostel,200
"Tokyo, Japan_Hotel","Tokyo, Japan",Hotel,1000
"Paris, France_Hotel","Paris, France",Hotel,1200
"Sydney, Aus_Airbnb","Sydney, Aus",Airbnb,800
"Rome, Italy_Hotel","Rome, Italy",Hotel,900
"Bali, Indonesia_Hostel","Bali, Indonesia",Hostel,500
"Cancun, Mexico_Hotel","Cancun, Mexico",Hotel,1300
"Athens, Greece_Airbnb","Athens, Greece",Airbnb,700
"Tokyo, Japan_Hotel","Tokyo, Japan",Hotel,1200
"Sydney, Aus_Airbnb","Sydney, Aus",Airbnb,900
"Paris, France_Hostel","Paris, France",Hostel,400
"Bali, Indonesia_Hotel","Bali, Indonesia",Hotel,800
"Paris, France_Hotel","Paris, France",Hotel,5000
"Tokyo, Japan_Airbnb","Tokyo, Japan",Airbnb,7000
"Cape Town, South Africa_Hostel","Cape Town, South Africa",Hostel,3000
"Sydney, Australia_Hotel","Sydney, Australia",Hotel,6000
"Rome, Italy_Airbnb","Rome, Italy",Airbnb,4000
"New York City, USA_Hotel","New York City, USA",Hotel,8000
"Rio de Janeiro, Brazil_Hostel","Rio de Janeiro, Brazil",Hostel,2500
"Vancouver, Canada_Hotel","Vancouver, Canada",Hotel,5000
"Bangkok, Thailand_Hostel","Bangkok, Thailand",Hostel,2000
"Barcelona, Spain_Airbnb","Barcelona, Spain",Airbnb,6000
"Auckland, New Zealand_Hotel","Auckland, New Zealand",Hotel,7000
