user_id,item_id,interaction
David Lee,Sydney_Hostel,"$200 $1,200 "
Sarah Brown,London_Hotel,$600 $700 
Michael Wong,New York_Airbnb,$800 $300 
Jessica Chen,Rome_Hotel,$700 $900 
Ken Tanaka,Bangkok_Hostel,$300 $100 
Maria Garcia,Cape Town_Airbnb,"$500 $1,500 "
Rodrigo Oliveira,Rio de Janeiro_Hotel,$900 $400 
Olivia Kim,Bali_Villa,"$1,200 $1,000 "
Robert Mueller,Amsterdam_Hotel,$600 $150 
John Smith,Paris_Hotel,1000800
Sarah Lee,Tokyo_Airbnb,800500
Michael Wong,New York_Hotel,1200200
Lisa Chen,Bali_Resort,15001200
David Kim,Sydney_Hostel,300900
Emily Wong,London_Hotel,900150
Mark Tan,Phuket_Villa,2000700
Emma Lee,Rome_Hotel,1100250
George Chen,Santorini_Airbnb,1000150
Sophia Kim,Dubai_Hotel,1500300
Alex Ng,Phnom Penh_Hostel,200500
Alice Smith,"Tokyo, Japan_Hotel",1000700
Bob Johnson,"Paris, France_Hotel",1200500
Cindy Chen,"Sydney, Aus_Airbnb",8001000
David Lee,"Rome, Italy_Hotel",900400
Emily Kim,"Bali, Indonesia_Hostel",500800
Frank Li,"Cancun, Mexico_Hotel",1300600
Gina Lee,"Athens, Greece_Airbnb",700900
Henry Kim,"Tokyo, Japan_Hotel",1200700
Isabella Chen,"Sydney, Aus_Airbnb",9001000
Jack Smith,"Paris, France_Hostel",400700
Katie Johnson,"Bali, Indonesia_Hotel",800800
,nan_nan,
John Doe,"Paris, France_Hotel",50002500
Jane Smith,"Tokyo, Japan_Airbnb",70001500
Michael Johnson,"Cape Town, South Africa_Hostel",30002000
Sarah Lee,"Sydney, Australia_Hotel",60003000
David Kim,"Rome, Italy_Airbnb",40001500
Emily Davis,"New York City, USA_Hotel",80002500
Jose Perez,"Rio de Janeiro, Brazil_Hostel",25002000
Emma Wilson,"Vancouver, Canada_Hotel",50003000
Ryan Chen,"Bangkok, Thailand_Hostel",20001000
Sofia Rodriguez,"Barcelona, Spain_Airbnb",60002500
William Brown,"Auckland, New Zealand_Hotel",70002500
